8,4.32568,40681,230399,0.0964694,0.810107,2.86124,1.74232,14.3752,3.70683
9,3.67598,40681,230454,0.0964694,0.810174,2.86124,1.74167,14.3752,3.70494
10,2.27414,40681,230454,0.0979222,0.81573,2.86124,1.73475,14.2955,3.68044
11,0.0958421,-1,-1,-1,-1,-1,-1,-1,-1
7,0.28694,43839,245254,0.0979222,0.807954,2.95536,1.74421,14.984,3.73584
8,6.60592,40859,231440,0.123542,0.812852,2.92387,1.73844,13.0529,3.69529
9,3.5231,40859,231526,0.123542,0.812805,2.92387,1.73816,13.0529,3.69363
10,1.83063,40859,231526,0.128564,0.816204,2.8269,1.73406,10.9571,3.67633
7,0.205833,42712,239242,0.128564,0.813041,2.82002,1.73785,13.544,3.69986
8,6.02003,40751,230939,0.128564,0.815791,2.8269,1.7345,10.9571,3.67848
9,2.74471,40751,230973,0.128564,0.815734,2.8269,1.73442,10.9571,3.67814
10,1.92849,40751,230973,0.124694,0.81721,2.83079,1.7326,10.7176,3.67111
7,0.365633,42336,237342,0.124694,0.814571,2.81719,1.73567,12.465,3.69017
8,5.50873,40678,230584,0.124694,0.816941,2.83079,1.73312,10.7176,3.67301
9,2.63616,40678,230591,0.124694,0.816969,2.83079,1.73303,10.7176,3.67262
10,1.55245,40678,230591,0.124694,0.81783,2.83079,1.73192,10.7176,3.66866
11,0.084984,-1,-1,-1,-1,-1,-1,-1,-1
7,0.188045,41538,233437,0.124694,0.816924,2.99399,1.73292,14.3481,3.67527
8,6.05168,40618,230261,0.178793,0.81767,2.78528,1.73219,8.8418,3.66958
9,2.32236,40618,230267,0.178793,0.817647,2.78528,1.73216,8.8418,3.66954
10,1.50956,40618,230267,0.178851,0.818004,2.78528,1.73174,8.03635,3.66782
8,5.48441,40565,229994,0.178851,0.818019,2.78528,1.73169,8.03635,3.6677
12,1.36973,25008,106861,0.187478,0.818745,2.77233,1.72957,8.03635,3.66184
13,-1,0,-1,-1,-1,-1,-1,-1,-1
